Universe, creation|宇宙、作成
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|物理的な宇宙を参照する一般的な言葉に、このドメインを使用してください。一部の言語では、宇宙のための単一の単語を持っていない可能性があり、そのような「雨、土、空のもの」や「空、陸、水 &#39;またはそのようなあなたができることはすべて&#39;と記述句としてフレーズを使用する必要があります存在する」または「すべて」を参照してください。
(1) What words refer to everything we can see?|（1）どのような言葉は、私たちが見ることができるすべてのものを参照してください？
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|宇宙、創造、宇宙、天と地、大宇宙、存在するすべてのもの
Sky|スカイ
Use this domain for words related to the sky.|空に関連する言葉のために、このドメインを使用してください。
(1) What words are used to refer to the sky?|（1）どのような言葉は空を参照するために使用されていますか？
sky, firmament, canopy, vault|空、大空、キャノピー、ボールト
(2) What words refer to the air around the earth?|（2）どのような言葉は地球の周りの空気を参照してください？
air, atmosphere, airspace, stratosphere, ozone layer|空気、雰囲気、領空、成層圏オゾン層
(3) What words are used to refer to the place or area beyond the sky?|（3）どのような言葉は空を超えての場所や地域を指すのに使用されていますか？
heaven, space, outer space, ether, void, solar system|天、スペース、宇宙空間、エーテル、ボイド、太陽系
(4) What words describe something in the sky or something that happens in the sky?|（4）どのような言葉は空や空に起こる何かで何かを記述しますか？
aerial, heavenly, atmospheric, stratospheric, celestial,|、天体、空中天、大​​気、成層圏
(5) What words describe the appearance of the sky?|（5）どのような言葉は空の外観を説明しますか？
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|ブルー、クリア、ブラック（夜）、曇り、雲満たされた、鮮やかな、暗い、夜空、予感は、嵐、暗い、星がちりばめられました
(6) What words refer to the edge of the sky where it meets the ground?|（6）どのような言葉は、それが地面を満たしている空の端に参照してください？
horizon, skyline|地平線、スカイライン
(7) What words refer to something in the sky?|（7）どのような言葉は空で何かを参照してください？
heavenly body, celestial body, luminary|天体、天体、光ります
(8) What words refer to the lights that appear in the northern (or southern) sky?|（8）どのような言葉は北部（または南）空に表示された光を参照してください？
aurora borealis, northern lights|オーロラ、オーロラ
(9) What words refer to something being in the sky?|（9）どのような言葉は空にあるものを参照してください？
aloft, up in the sky, up in the air,|アロフト、アップ空に、空気中のアップ、
Sun|サン
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|太陽に関連した言葉は、このドメインを使用します。太陽は、3つの基本的なことを行います。それは、光を与え、移動し、それが熱を与えます。これらの3つのアクションは、このドメイン内の単語のほとんどの意味に関与しています。太陽が地平線の下に移動するので、多くの言葉は、それが設定または上昇を参照してください。太陽が雲の上にあるので、多くの言葉は、雲と、その光を遮断する雲の後ろに移動し、それを参照してください。太陽の光と熱はまた、二次的効果を生じます。太陽は、植物が成長させ、それは物事への損傷を引き起こします。
(1) What words refer to the sun?|（1）どのような言葉は、太陽を参照してください？
sun, solar, sol, daystar, our star|太陽、太陽、ゾル、明けの明星、私たちの星
